date,women_rate,women_16_17_rate,women_16_19_rate,women_18_19_rate,women_16_24_rate,women_20_24_rate,women_25plus_rate,women_25_34_rate,women_25_54_rate,women_35_44_rate,women_45_54_rate,women_55plus_rate
1948-01-01,3.3,8.8,7.2,6.8,4.9,3.4,2.7,4.3,2.8,1.8,2.1,0
1948-02-01,4.5,13.2,8.9,6.8,6.3,4.5,3.7,5.1,3.7,2.6,3.3,0
1948-03-01,4.4,11.4,8.6,7.3,6.7,5.4,3.2,3.5,3.3,3,3.3,0
1948-04-01,4.3,10.6,9.2,8.6,6.7,5,3.5,3.8,3.5,3.5,3.1,0
1948-05-01,3.7,5.4,6.1,7,5.4,4.9,3.1,3.3,3.1,3,2.9,0
1948-06-01,4.3,12.9,9.3,6.8,6.5,4.6,3.5,4.2,3.6,3.3,3.1,0
1948-07-01,4.2,11,9,7.2,7.5,6.5,3.3,4.2,3.3,2.6,3.1,0
1948-08-01,4.4,7.6,8.5,8.8,6.2,4.7,4,4.7,4.1,4.1,3.4,0
1948-09-01,4.1,7.3,7.6,7.3,5.5,4.1,3.6,4.9,3.7,3,3.2,0
1948-10-01,4,8.4,7.3,6.1,5.7,4.6,3.4,4.5,3.6,3,3,0
1948-11-01,3.9,8.3,8.2,8.5,6.2,4.9,3.2,4.4,3.3,3,2.3,0
1948-12-01,4.2,7,7.7,7.7,6.4,5.4,3.5,4.4,3.6,3,3.4,0
1949-01-01,4.4,10.5,9.6,9.7,7,5.1,3.6,4.2,3.7,3.5,3.3,0
1949-02-01,4.8,14.7,10.5,8.7,7.8,5.9,3.7,4.4,3.9,3.9,3.3,0
1949-03-01,4.6,12.4,9.9,9.1,7.2,5.2,3.3,3.3,3.6,4.1,3.1,0
1949-04-01,5.5,13.9,11.8,11,8.5,6.2,4.5,5.7,4.7,4.5,3.8,0
1949-05-01,6,12.7,11.5,11.4,8.9,7.1,5,6.1,5,4.9,3.9,0
1949-06-01,6.2,14.6,12.6,11.4,9.4,7.3,5.1,6.9,5,4.5,3.1,0
1949-07-01,6.8,14.9,13.6,12.1,9.8,7.4,6.2,7.2,6,5.6,4.7,0
1949-08-01,6.8,15.6,12.7,10.8,10.7,9.3,5.7,7.5,6,5.4,4.7,0
1949-09-01,6.8,17.6,14.5,12.5,11.2,9,5.4,6.2,5.4,5.3,4.5,0
1949-10-01,6.8,15.4,13.8,12.4,11,9,5.3,7.2,5.8,5.3,4.8,0
1949-11-01,6.3,13.4,12.2,12,9.8,8.1,5.2,6.5,5.4,4.9,4.6,0
1949-12-01,6.8,16.3,14.7,13.4,11,8.5,5.4,6.7,5.5,5.1,4.4,0
1950-01-01,6.9,14.2,12.6,12.3,10.7,9.5,5.8,6.8,5.9,5.2,5.5,0
1950-02-01,6.8,15.1,13.4,12.3,10.3,8.4,5.7,6.5,5.8,5.1,5.7,0
1950-03-01,6.7,16,14.1,12.9,9.1,5.9,5.3,6.2,5.7,5.3,5.5,0
1950-04-01,5.4,11.3,9,8.1,7.7,6.9,4.7,5.3,4.8,4.5,4.4,0
1950-05-01,5.8,14.2,11.5,10.4,9.1,7.5,4.8,6.3,5.1,4.6,4.2,0
1950-06-01,6.1,15.2,11.3,9.1,9.2,7.9,5.1,6.3,5.1,4.3,4.7,0
1950-07-01,5.6,16,11.6,9,8.8,7,4.9,6,5,4.5,4.4,0
1950-08-01,4.8,12.9,10.5,9.1,7.3,5.3,4.1,5.3,4.2,3.7,3.7,0
1950-09-01,5.1,13.2,10.6,8.9,8.4,7,4.1,5.1,4.1,3.7,3.6,0
1950-10-01,4.8,11.5,10.1,8.7,7.4,5.6,4,4.6,3.9,3.3,4,0
1950-11-01,5.2,12.9,10.1,8.9,7.3,5.5,4.6,5.8,4.7,4,4.3,0
1950-12-01,5.2,18.3,13.2,9.3,8.5,5.5,4.2,4.6,4.3,4.1,4,0
1951-01-01,4.6,10.7,8.3,7.8,6.2,4.8,4.2,4.8,4.2,4,3.8,0
1951-02-01,4.5,8.6,8.3,7.9,5.6,3.9,4.1,4.8,4.1,3.8,3.8,0
